Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: Mestron Holdings Bhd,Financial Services,3.7,2.4,1.54,4.29,6.56,19070,7840,11127,15658,4194,6,1219,1417,3094,4,804,805,53695,4707,0.08,25170,16200,10320,17180,61270,3.73,3,1.54,0.076823894,0.280398237,0.876366901,8.766179346,5.141141908,7.225667296,0.051020408,16.22443629,3.314506173
klse: LPI Capital Bhd,Insurance,5.2,4.7,3.29,7.52,5.27,395755,399545,403908,399256,112085,100297,97916,115291,86178,77401,77917,86603,1598464,328099,4.92,10120,2810000,1170000,45600,1500000,2.55,0,0,0.218732667,0.0304,1.065642667,20.52589236,21.69109544,19.29077909,19.37228598,21.77559349,0.568848399
klse: Kuala Lumpur Kepong Bhd,Agricultural Commodities,4.7,3.3,3.2,4.4,8.01,4003408,3711157,3803983,4077408,336290,487111,102570,259759,208816,368697,27892,167199,15595956,857049,10.04,346170,3900000,6740000,9360000,10750000,2.83,2.06,1.26,0.079725488,0.870697674,1.450786605,5.495328404,4.100619806,0.733231458,9.934826255,5.215956005,3.998963077
klse: Turiya Bhd,Wholesale Distributors,4.3,2.4,5.55,3.24,5.9,4169,4562,4757,4475,123,340,-20,67,43,341,188,-26,17963,541,0.53,4150,2870,40920,47410,121220,1.11,0.9,0.19,0.00446296,0.391107078,0.148185118,3.011746368,-0.581005587,3.952070633,7.474791758,1.031422403,6.258885017
klse: Kim Hin Joo (Malaysia) Bhd,Apparel,5.3,5.1,5.29,6.31,4.27,24186,16963,19620,28744,3458,694,1869,4075,2647,468,1282,2862,89513,7259,0.2,0,29690,24330,32900,73910,4.77,2.66,2.46,0.098214044,0.445135976,1.211108104,8.109436618,9.956860562,6.534148828,2.758945941,10.94434797,3.014920849
klse: Sin Heng Chan (Malaya) Bhd,Food and Beverages,1.7,2.4,2.37,0.33,1.89,9415,7577,9485,9320,667,-297,1012,6475,743,34,1088,6804,35797,8669,0.44,23890,12570,88570,116850,82570,0.42,0.36,0.1,0.104989706,1.415162892,0.433535182,24.21711317,73.00429185,11.47074328,0.448726409,7.891662241,2.847812251
klse: Dufu Technology Corp. Bhd,Metal Fabrication,4.1,3.2,1.1,4.75,7.5,75953,73410,62948,78824,16829,12937,18690,17629,12856,9897,14144,15107,291135,51641,0.84,70,68050,20970,72290,225650,4.46,2.88,1.04,0.228854421,0.320363395,1.290206071,17.73781922,19.16548259,22.46933977,13.48181447,16.92625703,4.278251286
klse: TRC Synergy Bhd,Engineering,5.9,6.6,7.46,5.2,4.48,189983,139386,137632,190906,8328,12429,4187,5971,5742,11180,-414,3682,657907,20110,0.89,0,280730,212150,597290,421970,1.37,1.13,0.52,0.047657416,1.415479773,1.559132166,3.056663024,1.928697893,-0.300802139,8.020891625,3.022375686,2.343557867
klse: Diversified Gateway Solutions Bhd,Information Technology Services,4,2.3,1.73,4.74,7.26,3501,2951,3251,27916,-929,-3651,1616,1195,-1204,-7617,1637,803,37619,-6060,5.86,730,31290,2330,12160,43670,4.55,4.38,2.67,-0.138768033,0.278452027,0.861438058,-16.10888115,2.876486603,50.35373731,-258.1158929,-34.39017424,1.202269096
klse: Gopeng Bhd,Agricultural Commodities,3.5,2.4,5.7,4.75,1.05,2667,1666,1837,2915,-1434,3338,-5005,545,-1468,3299,-5005,545,9085,-2629,1.07,0,93500,24,32090,287580,39.76,39.57,38.46,-0.009141804,0.111586341,0.031591209,-28.93780958,18.69639794,-272.4550898,198.0192077,-55.04311961,0.097165775
klse: United U-Li Corp. Bhd,Miscellaneous Manufacturing,3.9,2.1,3.46,4.1,5.82,51110,17199,40007,53015,5653,-4462,-467,2243,5058,-4396,-560,-427,161331,-325,1.31,0,79490,34380,55570,280920,3.63,2.43,1.06,-0.001156913,0.197814324,0.574295173,-0.201449195,-0.805432425,-1.399755043,-25.55962556,9.896302094,2.029576047
klse: Acme Holdings Bhd,Telecommunication Equipment,4,2.4,3.87,4.18,5.74,9120,2431,5837,7063,1139,-761,-1454,-25,1130,-761,-1017,-171,24451,-819,0.34,0,20710,2170,15120,95840,4.39,2.61,0.76,-0.008545492,0.157762938,0.255123122,-3.349556255,-2.421067535,-17.4233339,-31.30399013,12.39035088,1.180637373
klse: Sungei Bagan Rubber Co. (Malaya) Bhd,Financial Services,5.7,4.8,8.47,6.37,3.24,4511,5914,2544,3054,11284,8118,-21301,8948,11254,10017,-21320,8929,16023,8880,8.51,0,124080,2940,15300,564220,40.36,40.28,39.57,0.015738542,0.027117082,0.028398497,55.42033327,292.3706614,-838.0503145,169.3777477,249.4790512,0.129134429
klse: Salcon Bhd,Wholesale Distributors,5.1,2.3,5.63,4.5,7.99,60222,24523,47821,59457,-5237,1317,-4222,4367,-2028,2145,-6355,2208,192023,-3155,0.52,25490,124420,40170,125600,431070,4.06,2.87,1.13,-0.007318997,0.291367991,0.445456654,-1.643032345,3.713608154,-13.28914075,8.746890674,-3.367540102,1.543345121
klse: Yoong Onn Corp. Bhd,Home Furnishings,7,7.2,8.04,8.3,4.33,59727,34511,50224,64791,7588,3927,5406,4735,5695,3032,4150,3530,209253,16407,1.46,0,70460,11350,22820,233730,11.06,6.08,4.11,0.07019638,0.097634022,0.895276601,7.840747803,5.448287571,8.262981841,8.78560459,9.535051149,2.96981266
klse: Tambun Indah Land Bhd,Construction,6.7,6.3,8.23,7.1,5.23,42393,14136,14100,40032,13319,456,971,18159,10097,721,769,15977,110661,25922,1.48,0,117360,126220,147390,641360,5.34,3.15,1.91,0.040417238,0.229808532,0.172541163,23.42469343,39.91057154,5.453900709,5.100452745,23.8176114,0.942919223
klse: Teo Guan Lee Corp. Bhd,Apparel,5.7,6.4,7.13,7.87,1.25,24006,23515,17744,29376,3399,-538,246,1845,2517,-186,127,1410,94641,3722,2.17,0,33860,19630,35590,88450,3.39,2.05,1.25,0.042080271,0.402374223,1.069994347,3.932756416,4.799836601,0.715734896,-0.790984478,10.48487878,2.795067927
klse: Eden Inc. Bhd,Utilities,5.4,3.9,7.45,3.9,6.35,8385,4494,11848,23362,1158,-6623,9159,2595,1115,-9058,8428,1853,46928,-5892,0.77,0,9190,56490,146900,240670,0.41,0.35,0.11,-0.024481655,0.610379358,0.194988989,-12.55540402,7.931683931,71.13436867,-201.5576324,13.29755516,5.106420022
klse: Sasbadi Holdings Bhd,Publishing,4.5,2.4,6.25,3.47,5.9,6788,4946,22961,27745,-7667,-10559,3045,5877,-6204,-8771,2002,4021,62440,-8952,0.35,24360,6210,40220,65200,152560,3.09,1.46,0.16,-0.058678553,0.427372837,0.409281594,-14.33696348,14.49270139,8.719132442,-177.3352204,-91.3965822,10.0547504
klse: DRB-HICOM Bhd,Motor Trading,4.5,3.1,5.67,1.77,7.36,3563735,2004954,2736789,3504592,142424,-365803,-185304,194715,47498,-306083,-173272,272677,11810070,-238452,3.47,1343210,6720000,8330000,34290000,7210000,0.6,0.52,0.22,-0.033072399,4.755894591,1.638012483,-2.019056619,7.780563329,-6.331215158,-15.26633529,1.33281515,1.757450893
klse: Favelle Favco Bhd,Industrial Machinery,7.1,7.3,6.64,9.24,5.31,130413,97426,144627,226176,13284,11554,16057,44952,4116,7569,11908,26531,598642,61472,3.19,71210,270220,82310,518380,743210,1.58,1.23,0.55,0.082711481,0.697487924,0.805481627,10.26857454,11.73024547,8.233594004,7.768973375,3.156127073,2.215387462
klse: Zecon Bhd,Engineering,3.5,2.4,6.22,0.01,5.45,79290,40220,143102,153864,-5776,2625,15746,8457,-6286,-3437,9148,5062,416476,11711,1.8,0,27770,796630,1230000,256120,0.23,0.22,0.02,0.04572466,4.802436358,1.626097142,2.811926738,3.289918369,6.39264301,-8.545499751,-7.927859755,14.99733525
klse: Federal International Holdings Bhd,Home Furnishings,4.8,4.9,5.19,4.31,4.78,21492,5861,21269,46174,1147,-1213,2278,3461,728,-352,1382,2285,94796,4245,0.98,18560,6450,17780,96080,106630,1.49,1.45,0.08,0.03981056,0.901059739,0.8890181,4.478037048,4.948672413,6.497719686,-6.005801058,3.387306905,14.69705426
klse: Kossan Rubber Industries Bhd,Miscellaneous Manufacturing,5,3.8,2.44,4.24,9.37,1033347,701680,611465,578349,436393,160836,82534,72279,348741,131057,64803,61003,2924841,610364,1.11,4930,376510,580920,1050000,1580000,1.42,0.94,0.25,0.386306329,0.664556962,1.85116519,20.86827968,10.54778343,10.59799007,18.67760233,33.74868268,7.768295663
klse: Grand Hoover Bhd,Industrial Products,5,4.5,4.95,5.74,4.78,18566,17474,17708,18030,2989,1867,1170,2709,2191,1606,969,2320,71778,7089,0.36,0,48420,31720,44840,120550,3.93,2.8,2.09,0.058805475,0.371961842,0.595420987,9.876285213,12.86744315,5.472103004,9.190797757,11.80114187,1.482403965
klse: Majuperak Holdings Bhd,Textiles,3.6,1.6,3.64,3.48,5.7,11970,2673,2169,-2204,3671,-1665,-4149,-6592,2235,-1268,-4091,-6472,14608,-10034,0.67,12070,1570,16840,75670,175110,1.26,0.78,0.03,-0.057301125,0.432128376,0.083421849,-68.68838992,293.6479129,-188.6122637,-47.43733633,18.6716792,9.304458599
klse: Press Metal Aluminium Holdings Bhd,Metal Fabrication,3.2,2.4,0.28,1.7,8.58,1862063,1730551,1830016,2133502,172916,124916,143616,184716,121975,90065,102565,131526,7556132,566826,0.88,64330,494580,4730000,6410000,3390000,1.88,0.98,0.31,0.16720531,1.890855457,2.228947493,7.5015365,6.164793846,5.604595807,5.204411774,6.550530245,15.27787618
klse: Genetec Technology Bhd,Industrial Machinery,4.7,4.6,4.67,4.92,4.53,38673,12427,8321,40109,2687,-1790,-8738,8123,2638,-2089,-7823,8446,99530,702,1.77,5060,27090,15220,42270,73270,2.86,2.43,0.79,0.009581002,0.576907329,1.358400437,0.70531498,21.05761799,-94.01514241,-16.8101714,6.821296512,3.674049465
klse: TH Heavy Engineering Bhd,Oilfield Services,1.7,2.2,0.01,0.01,4.7,19287,15558,18937,22072,924,-15842,1779,1494,1650,-15120,2502,2612,75854,-11721,0.06,0,15960,138440,434240,54290,0.21,0.21,0.07,-0.215896113,7.998526432,1.397200221,-15.45205263,11.83399783,13.21223003,-97.18472811,8.554985223,4.752756892
klse: Hap Seng Consolidated Bhd,Wholesale Distributors,4.3,3.3,2.51,4.55,6.9,1661690,989576,1475001,1773856,278252,92639,234299,774796,193734,44078,160377,681960,5900123,1129153,2.95,42350,3710000,7990000,9800000,7320000,1.57,0.99,0.46,0.154255874,1.338797814,0.806027732,19.13778747,38.4450598,10.87300958,4.454230903,11.65885334,1.59032965
klse: Sentoria Group Bhd,Consumer,3.5,1.9,6.18,0.46,5.5,16980,12011,-13582,21550,-52543,-15527,-36551,-8550,-53102,-14399,-32336,-9226,-7323,-155080,0.88,0,15680,438830,683570,427890,0.54,0.24,0.02,-0.362429596,1.59753675,-0.017114212,2117.71132,-42.81206497,238.0798115,-119.881775,-312.7326266,-0.467028061
klse: Symphony Life Bhd,Construction,7.3,8.1,8.29,6.47,6.29,81025,30502,22667,68430,27526,7078,-28331,46242,22099,6180,-20171,35252,202624,32258,1.62,10330,28810,406060,601740,908040,2.15,0.81,0.07,0.035524867,0.662680058,0.223144355,15.92012792,51.51541721,-88.98839723,20.26096649,27.27429806,7.033113502
klse: Genting Bhd,Gambling,7.8,6.2,8.79,6.42,9.73,3298829,1107938,4109218,5303023,60044,-1660160,-218205,1119541,-130746,-786054,-132318,528822,13819008,-1294185,9.18,40550,31040000,37950000,47020000,33220000,3.84,3.77,3.49,-0.038958007,1.415412402,0.415984588,-9.365252556,9.972085733,-3.220028726,-70.94747179,-3.963406409,0.4452
klse: Revenue Group Bhd,Packaged Software,3.2,2.4,0.01,3.91,6.44,19559,23475,15514,22731,3398,1956,1052,4789,2109,455,649,3444,81279,8439,0.22,9950,37790,7960,40350,74470,1.55,1.34,0.73,0.1133208,0.541828924,1.091432792,10.38275569,15.15111522,4.183318293,1.938232162,10.78275985,2.150807092
klse: Bintulu Port Holdings Bhd,Construction,3.9,5,4.04,4.31,2.38,178048,165147,177709,184451,35199,16365,47193,49360,26774,10589,31069,43444,705355,111876,2.89,1642240,896160,1490000,1660000,1350000,3.81,3.81,3.38,0.082871111,1.22962963,0.522485185,15.86094945,23.55313877,17.48307627,6.41186337,15.03751797,0.787086011
klse: Woodlandor Holdings Bhd,Building Materials,3,0.8,3.96,5.04,1.99,2604,836,1534,2418,-1163,-2218,-1259,-992,-1165,-1705,-1251,-989,7693,-4916,1.13,0,6090,4380,10670,38030,1.76,1.13,0.63,-0.129266369,0.280567973,0.202287668,-63.9022488,-40.90157155,-81.55149935,-203.9473684,-44.73886329,1.263218391
klse: Kumpulan Fima Bhd,Agricultural Commodities,6.2,5.4,7.2,7.87,4.49,130556,102768,121766,135745,27472,13916,4094,14140,18313,8448,-811,9115,490835,35909,2.84,12710,316070,90150,215950,817090,4.56,3.87,2.4,0.043947423,0.264291571,0.60071106,7.315900455,6.714796125,-0.666031569,8.22045773,14.02693097,1.552931313
klse: Versatile Creative Bhd,Apparel,2.5,1.2,0.01,3.77,5.06,10739,9840,11181,10299,1232,4660,-9876,-2768,1224,4660,-9712,-2768,42059,-6596,0.23,0,24660,9660,30560,63850,0.8,0.52,0.18,-0.10330462,0.47862177,0.65871574,-15.6827314,-26.87639577,-86.86164028,47.35772358,11.39770928,1.705555556
klse: Symphony Life Bhd,Construction,7.3,8.1,8.29,6.47,6.29,81025,30502,22667,68430,27526,7078,-28331,46242,22099,6180,-20171,35252,202624,32258,1.62,10330,28810,406060,601740,908040,2.15,0.81,0.07,0.035524867,0.662680058,0.223144355,15.92012792,51.51541721,-88.98839723,20.26096649,27.27429806,7.033113502
klse: DRB-HICOM Bhd,Motor Trading,4.5,3.1,5.67,1.77,7.36,3563735,2004954,2736789,3504592,142424,-365803,-185304,194715,47498,-306083,-173272,272677,11810070,-238452,3.47,1343210,6720000,8330000,34290000,7210000,0.6,0.52,0.22,-0.033072399,4.755894591,1.638012483,-2.019056619,7.780563329,-6.331215158,-15.26633529,1.33281515,1.757450893
klse: Datasonic Group Bhd,Information Technology Services,4.1,2.9,0.6,5.34,7.67,43749,39396,50715,74965,9335,6131,11976,21631,7527,4775,12273,20176,208825,44745,0.19,27880,35870,77350,110510,250800,2.67,2.02,0.66,0.178409091,0.440629984,0.832635566,21.4270322,26.91389315,24.19994085,12.12051985,17.20496468,5.821717313
klse: Mercury Industries Bhd,Industrial Specialties,2.6,1.6,3.69,3.32,1.78,1194,1443,2927,4706,-1192,-961,-1012,-4166,-1191,-961,-1012,-3497,10270,-6661,1.83,31510,4890,13570,55020,66190,1.26,1.26,0,-0.100634537,0.83124339,0.15515939,-64.85881207,-74.30939227,-34.57464981,-66.5973666,-99.74874372,2.100204499
klse: SCC Holdings Bhd,Wholesale Distributors,4.4,3.4,4.81,7.26,2.14,12152,7891,13704,17189,-6,-671,773,3389,-314,-658,429,2713,50936,2170,0.3,10,18710,846,5840,42800,5.38,4.11,2.4,0.050700935,0.136448598,1.190093458,4.260248155,15.78334982,3.130472855,-8.33861361,-2.583936801,2.722394441
klse: TH Heavy Engineering Bhd,Oilfield Services,1.7,2.2,0.01,0.01,4.7,19287,15558,18937,22072,924,-15842,1779,1494,1650,-15120,2502,2612,75854,-11721,0.06,0,15960,138440,434240,54290,0.21,0.21,0.07,-0.215896113,7.998526432,1.397200221,-15.45205263,11.83399783,13.21223003,-97.18472811,8.554985223,4.752756892
klse: Top Glove Corp. Bhd,Gloves,4.9,3.3,1.02,5.22,10,4759253,3109116,1688324,1229777,3095525,1623554,422020,130374,2375775,1291995,347895,115683,10786470,4197247,0.61,0,2880000,1850000,3810000,4870000,2.01,1.76,1.35,0.8618577,0.782340862,2.214880903,38.91214642,9.406827417,20.6059382,41.55505938,49.91907343,3.745302083
klse: Khind Holdings Bhd,Electronics,5.9,7.5,6.38,5.24,4.58,141251,117078,82457,92545,8747,5861,14710,776,5823,4101,12265,524,433331,22783,3.3,3930,71480,85490,145530,149550,1.89,1.18,0.41,0.152343698,0.973119358,2.897566031,5.257643695,0.566211032,14.87441939,3.50279301,4.122448691,6.062269166
klse: Sinmah Capital Bhd,Agricultural Commodities,2.7,0.3,2.07,2.12,6.55,23459,36094,38308,36165,-5236,-7609,-2893,-6168,-5217,-7619,-2781,-2471,134026,-17838,0.45,3350,31190,86770,111160,85300,2.5,1.3,0.44,-0.20912075,1.303165299,1.57123095,-13.30935789,-6.83257293,-7.259580244,-21.10877154,-22.23879961,4.297082398
klse: Cypark Resources Bhd,Environmental Services,6.4,8.1,6.35,3.09,7.96,81686,55685,75753,90876,29757,20308,23300,19319,21304,16148,18504,14549,304000,71664,2.01,877480,359380,1340000,1540000,831690,3.06,3.06,0.93,0.086166721,1.851651457,0.365520807,23.57368421,16.00972754,24.42675538,28.99883272,26.08035649,0.845901274
klse: Teck Guan Perdana Bhd,Agricultural Commodities,5.2,7.7,6.09,3.74,3.24,139666,181048,64741,97311,453,3108,5416,-2945,256,2425,4292,-2815,482766,4158,1.3,0,31020,67550,134440,58950,1.37,1,0.44,0.070534351,2.28057676,8.189414758,0.861286835,-2.892787044,6.629492902,1.339423799,0.183294431,15.56305609
klse: Sime Darby Plantation Bhd,Agricultural Commodities,3.9,2.7,1.93,2.96,7.97,3182000,3216000,3044000,3376000,311000,519000,607000,32000,190000,378000,394000,-45000,12818000,1136000,1.93,2983000,695000,9300000,14490000,13590000,1.04,0.65,0.1,0.083590876,1.066225166,0.943193525,8.862537057,-1.332938389,12.9434954,11.75373134,5.971087366,18.44316547
klse: Inch Kenneth Kajang Rubber PLC,Hotels and Resorts,4,2.1,7.23,4.16,2.73,4306,2079,2013,1656,-2164,-4543,-5714,-5787,-2164,-4543,-5714,-5130,10054,-17551,1.68,10,34780,142,90970,611810,35.52,35.06,14.02,-0.028687011,0.148689953,0.016433206,-174.5673364,-309.7826087,-283.8549429,-218.5185185,-50.2554575,0.289074181
klse: Landmarks Bhd,Hotels and Resorts,4.9,1.9,7.88,3.65,6.2,5356,109,25787,33004,-16069,-20498,-11522,-17997,-15854,-19904,-12314,-60934,64256,-109666,3.38,0,15130,136350,494210,1760000,2.53,1.2,0.83,-0.062310227,0.280801136,0.036509091,-170.6704432,-184.6261059,-47.75274363,-18260.55046,-296.004481,4.246926636
klse: OpenSys (M) Bhd,Computer,4.7,3.9,1.67,5.11,8.1,23890,20058,17229,40158,4223,3543,2366,7014,3068,2574,1666,5079,101335,12417,0.21,0,25000,15910,40670,66020,2.1,1.72,0.81,0.18807937,0.616025447,1.534913663,12.25341688,12.64754221,9.669742875,12.83278492,12.84219339,4.0534
klse: Complete Logistic Services Bhd,Marine Shipping,6.8,5.4,7.52,9.01,5.39,12663,8486,16759,31866,1520,790,39115,4567,1313,518,39236,3172,69774,43941,1.41,0,77140,31020,41630,158870,9.01,9.01,7.56,0.276584629,0.262038144,0.439189274,62.97618024,9.954183142,234.1189808,6.104171577,10.36879097,0.904511278
klse: Suria Capital Holdings Bhd,Property Developer,7,7.5,7.44,8.1,4.83,60983,46529,56940,70632,14810,8588,12859,16510,11928,5755,10538,10940,235084,39157,3.22,824180,114640,18630,233330,1130000,2.8,2.73,1.16,0.034652212,0.206486726,0.208038938,16.65659934,15.48873032,18.50720056,12.36863032,19.55954938,2.050628053
klse: Brite-Tech Bhd,Environmental Services,4.6,3.9,3.57,5.76,5.34,6742,4895,6005,6987,2561,1498,1054,2515,1903,1088,756,4745,24629,6467,0.25,640,19470,25400,33130,63580,4.26,4.1,2.66,0.101714376,0.52107581,0.387370242,26.25766373,67.91183627,12.58950874,22.226762,28.22604568,1.264971751
klse: Cycle & Carriage Bintang Bhd,Motor Trading,2.1,0.5,3.3,1.06,3.66,409049,139343,215911,280776,10314,-11526,-11609,-23188,7195,-9384,-9700,-22250,1045079,-34139,2.47,9840,22940,259950,396380,230000,1.31,0.36,0.1,-0.148430435,1.723391304,4.543821739,-3.266643,-7.924466479,-4.492591855,-6.734461006,1.758957973,45.5570619
klse: Tri-Mode System M Bhd,Couriers,5.7,6.6,5.62,5.86,4.64,20467,18795,20921,22160,1734,1402,2771,1090,1157,1069,2046,740,82343,5012,0.43,0,15640,23530,38120,75070,2.17,2.17,1.18,0.066764353,0.507792727,1.096882909,6.086734756,3.339350181,9.779647244,5.687682894,5.653002394,5.264897698
klse: Versatile Creative Bhd,Apparel,2.5,1.2,0.01,3.77,5.06,10739,9840,11181,10299,1232,4660,-9876,-2768,1224,4660,-9712,-2768,42059,-6596,0.23,0,24660,9660,30560,63850,0.8,0.52,0.18,-0.10330462,0.47862177,0.65871574,-15.6827314,-26.87639577,-86.86164028,47.35772358,11.39770928,1.705555556
klse: Ajinomoto (Malaysia) Bhd,Food and Beverages,5.4,5,4.72,6.77,4.99,115642,95084,120819,118967,18040,19807,20586,19556,13763,15056,15846,14969,450512,59634,8.15,4080,215030,1180,66590,510730,5.49,4.74,3.3,0.116762281,0.130382002,0.882094257,13.2369393,12.58248086,13.1154868,15.83442009,11.90138531,2.09511231
klse: PCCS Group Bhd,Apparel,6.4,6.7,6.2,5.75,7.12,96877,104834,94387,108696,-2192,2051,7127,1213,-2354,1622,9233,1145,404794,7839,0.73,0,49750,57810,125430,155200,1.4,0.89,0.46,0.050509021,0.80818299,2.608208763,1.936540561,1.053396629,9.782067446,1.547207967,-2.429885318,8.136562814
klse: Aemulus Holdings Bhd,Electronic Equipments,3.9,2.4,1.37,3.88,7.83,7215,5059,2686,4359,1259,106,-2725,-1981,1040,87,-2745,-1993,19320,-3612,0.18,18720,11200,21860,30150,69670,4.26,2.84,1.1,-0.051844409,0.432754414,0.277307306,-18.69565217,-45.72149576,-102.1965748,1.719707452,14.41441441,1.725
klse: FoundPac Group Bhd,Semiconductor,4.3,3,1.61,5.14,7.36,12440,12415,11143,14532,4139,4758,4018,6619,3074,4215,3120,4646,50530,15846,0.18,12650,51140,219,7950,96010,12.67,11.96,9.28,0.165045308,0.082803875,0.526299344,31.35958836,31.97082301,27.99964103,33.95086589,24.71061093,0.988071959
klse: Acme Holdings Bhd,Telecommunication Equipment,4,2.4,3.87,4.18,5.74,9120,2431,5837,7063,1139,-761,-1454,-25,1130,-761,-1017,-171,24451,-819,0.34,0,20710,2170,15120,95840,4.39,2.61,0.76,-0.008545492,0.157762938,0.255123122,-3.349556255,-2.421067535,-17.4233339,-31.30399013,12.39035088,1.180637373
klse: KUB Malaysia Bhd,Engineering,6.4,6.9,6.39,5.86,6.46,96683,62306,109382,110592,14844,28030,6186,30406,12708,28448,4931,27537,378963,77782,0.6,0,193680,85060,179100,368220,1.7,1.65,1.24,0.211237847,0.486394004,1.029175493,20.5249589,24.89963108,4.508054342,45.65852406,13.14398602,1.956644981
klse: Lambo Group Bhd,Information Technology Services,6.3,3.9,7.81,5.82,7.65,887,712,813,2240,25195,-3615,-212,1241,25036,-3436,-467,677,36981,27179,0.06,0,87790,110,3280,126660,58.05,58.05,28.4,0.214582346,0.0258961,0.29197063,73.49449717,30.22321429,-57.44157442,-482.5842697,2822.547914,0.421243877
klse: Hock Seng Lee Bhd,Agricultural Commodities,5.2,3.7,6.27,5.41,5.34,128895,83570,101861,124863,33889,31356,-6992,31581,25082,34279,-6016,31166,439189,84511,2.07,0,223750,55170,470000,1660000,4.82,3.32,2.65,0.050910241,0.28313253,0.264571687,19.2425129,24.96015633,-5.906087708,41.01830801,19.45924978,1.962855866
klse: Federal International Holdings Bhd,Home Furnishings,4.8,4.9,5.19,4.31,4.78,21492,5861,21269,46174,1147,-1213,2278,3461,728,-352,1382,2285,94796,4245,0.98,18560,6450,17780,96080,106630,1.49,1.45,0.08,0.03981056,0.901059739,0.8890181,4.478037048,4.948672413,6.497719686,-6.005801058,3.387306905,14.69705426
klse: N2N Connect Bhd,Internet Services,5.1,4.2,3.98,6.46,5.94,31553,28548,26261,26229,10233,8107,4719,2296,9694,6968,3762,1573,112591,21566,0.46,79830,131940,20740,47250,259470,6.12,6.12,4.83,0.083115582,0.182101977,0.433926851,19.15428409,5.997178695,14.32542554,24.40801457,30.72291066,0.853350008
klse: Alam Maritim Resources Bhd,Oilfield Services,4,0.5,5.62,3.16,6.83,24819,54408,104434,93235,-10636,527,-22898,-65368,-11000,381,-22715,-63674,276896,-98610,0.37,0,48910,97550,233210,317440,1.31,1.3,0.31,-0.310641381,0.734658518,0.872278226,-35.61264879,-68.29409556,-21.75057931,0.700264667,-44.32088319,5.66133715
klse: Sapura Industrial Bhd,Auto Parts,4.3,2.4,5.67,5.22,3.79,55379,33682,22643,46358,4032,-731,-4940,1338,3965,-737,-4946,681,158062,-920,1.46,1570,29530,36420,65580,100520,2.54,1.75,0.68,-0.009152407,0.652407481,1.572443295,-0.582050082,1.469002114,-21.84339531,-2.188112345,7.159753697,5.352590586
klse: AbleGroup Bhd,Building Materials,4.3,2.2,4.8,4.03,6.09,993,417,686,1892,-43,-322,-360,27,-43,-322,-360,32,3988,-693,0.17,0,2110,495,2790,43440,4.41,2.89,1.28,-0.015953039,0.064226519,0.091804788,-17.37713139,1.691331924,-52.47813411,-77.21822542,-4.330312185,1.890047393
klse: TSR Capital Bhd,Engineering,5.6,5.1,7.4,3.76,6.14,19045,25117,30545,37096,-526,18297,796,1019,-524,15763,796,1020,111803,17050,0.99,0,7470,65760,167710,172930,1.05,0.96,0.06,0.098594807,0.969814376,0.646521714,15.25003801,2.749622601,2.605991161,62.7582912,-2.751378315,14.9669344
klse: Wellcall Holdings Bhd,Miscellaneous Manufacturing,5.3,5,2.93,7.44,5.97,37274,26322,31944,39380,11941,5986,9296,11589,8999,3908,7329,9121,134920,29363,0.24,0,44980,0,17510,116840,4.66,3.73,3.2,0.251309483,0.149863061,1.154741527,21.76326712,23.1615033,22.94327573,14.84689613,24.14283415,2.999555358
klse: Kwantas Corp. Bhd,Forest Products,4,2,4.99,2.88,6,259129,206201,219807,252729,8106,-6671,-11626,-6237,7042,-6641,-13397,-6229,937866,-20671,3.55,0,60920,478160,768350,1130000,0.44,0.21,0.12,-0.01829292,0.679955752,0.829969912,-2.204046207,-2.464695385,-6.094892337,-3.220643935,2.717565382,15.39504268
klse: Chin Well Holdings Bhd,Metal Fabrication,6.6,6.4,7.6,7.7,4.66,107392,82215,150401,147703,6841,-16282,9634,5407,5165,-16591,8022,4276,487711,872,1.94,0,110320,71330,111620,568760,5.12,2.49,1.11,0.00153316,0.196251494,0.857498769,0.178794409,2.894998747,5.333741132,-20.18001581,4.809483015,4.420875635
klse: MBM Resources Bhd,Specialty Stores,7.3,7.5,7.53,7.5,6.62,600447,258596,374040,496063,79601,-2820,31267,42159,64979,-5186,27229,41037,1729146,144367,4.46,1100,194320,31610,140820,1740000,3.74,3.03,1.73,0.08296954,0.080931034,0.993762069,8.349034726,8.272537964,7.279702706,-2.005444786,10.82177111,8.898445862
klse: Sunzen Biotech Bhd,Pharmaceuticals,3.5,1,3.12,3.95,6.03,20358,12679,21341,44302,131,-1824,-3186,-14804,-383,-1696,-2568,-12773,98680,-19097,0.17,90,31460,16110,30950,87080,5.3,4.17,2.65,-0.219304088,0.355420303,1.133210841,-19.35245237,-28.83165546,-12.03317558,-13.37644925,-1.881324295,3.1366815
